Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
"Copywriter, advertising",Healthcare,Increasing,High,72602.91,Associate Degree,7,8790,5693,58.74,79.98,Germany,58.95
Horticultural consultant,Education,Decreasing,Low,106506.94,PhD,14,3215,2205,68.52,86.0,USA,77.54
Publishing rights manager,IT,Decreasing,Moderate,115272.02,Associate Degree,18,9288,3243,23.18,47.68,Australia,39.16
Trade union research officer,Transportation,Increasing,Low,75606.81,Bachelor’s Degree,7,985,4116,99.0,94.13,UK,50.33
Equities trader,Transportation,Decreasing,Moderate,55948.61,Associate Degree,1,8065,1946,15.01,46.76,UK,26.24
Electrical engineer,Education,Increasing,Low,88696.84,Bachelor’s Degree,2,6218,6178,11.06,34.38,Australia,54.24
"Engineer, electrical",Entertainment,Decreasing,High,91812.47,Master’s Degree,0,3849,452,63.46,5.1,USA,70.54
Sub,Retail,Increasing,High,61897.88,High School,1,6505,5250,50.98,7.41,Germany,65.15
"Engineer, energy",Entertainment,Decreasing,High,76432.52,Bachelor’s Degree,0,1107,7373,72.52,56.61,Canada,64.92
"Accountant, chartered management",Retail,Decreasing,Moderate,89678.65,Bachelor’s Degree,19,6161,3272,2.58,58.95,Canada,47.05
Solicitor,Education,Decreasing,High,60409.89,High School,1,6311,1476,14.66,30.14,Australia,44.42
"Designer, fashion/clothing",Finance,Increasing,High,89042.95,High School,11,9597,1239,62.47,71.86,Brazil,37.98
Surgeon,Retail,Increasing,Moderate,80406.1,Associate Degree,7,819,481,35.97,2.64,Canada,47.6
Medical sales representative,Manufacturing,Decreasing,Moderate,108864.56,Bachelor’s Degree,15,9173,3646,30.68,9.99,USA,26.61
"Pharmacist, community",Transportation,Increasing,Moderate,79671.93,Master’s Degree,9,4497,5389,77.75,71.37,Australia,20.2
"Surveyor, planning and development",Finance,Decreasing,High,134232.25,Bachelor’s Degree,18,9193,2057,36.8,4.23,UK,54.04
"Runner, broadcasting/film/video",Entertainment,Decreasing,Low,62929.19,Associate Degree,2,7318,4238,40.17,61.27,Australia,39.66
"Surveyor, insurance",Finance,Increasing,High,98696.01,Bachelor’s Degree,4,9061,7695,99.86,83.26,Canada,61.03
"Accountant, chartered certified",Transportation,Decreasing,Low,74228.76,Bachelor’s Degree,1,7103,6798,6.72,14.51,China,37.46
Arboriculturist,Entertainment,Decreasing,High,77574.31,Associate Degree,4,3362,3458,96.03,24.45,Brazil,46.77
Tax inspector,Finance,Decreasing,High,108548.32,Bachelor’s Degree,14,2530,8057,11.6,84.78,UK,59.04
Chartered public finance accountant,Retail,Increasing,Low,99193.92,PhD,12,5656,8377,36.3,53.61,Brazil,54.56
Research scientist (maths),Finance,Increasing,Low,72622.84,High School,6,4941,1773,36.92,94.86,USA,22.64
Exercise physiologist,IT,Decreasing,Low,87570.69,Associate Degree,6,8554,6873,87.55,80.84,Australia,78.24
Intelligence analyst,IT,Decreasing,High,116945.44,Master’s Degree,18,5631,7853,14.74,65.8,Germany,66.1
Private music teacher,Entertainment,Decreasing,Low,94408.08,Master’s Degree,11,5179,4334,3.95,91.58,China,45.2
Magazine journalist,Retail,Increasing,Low,67151.26,High School,4,1960,2730,12.8,45.33,Germany,60.91
Materials engineer,Healthcare,Decreasing,Low,109599.23,Bachelor’s Degree,13,7287,1966,15.27,0.0,Germany,43.36
Forest/woodland manager,Entertainment,Increasing,Moderate,85524.86,Bachelor’s Degree,4,7834,307,99.74,51.24,UK,41.47
"Geologist, wellsite",Manufacturing,Decreasing,Moderate,96967.57,PhD,0,9878,5170,2.58,3.11,China,58.97
"Surveyor, rural practice",Retail,Decreasing,Moderate,111145.08,PhD,12,4953,5468,9.71,0.0,Canada,51.78
"Nurse, mental health",Finance,Decreasing,Low,102805.83,Associate Degree,18,9216,9796,38.32,77.1,USA,78.83
Charity fundraiser,Transportation,Decreasing,Moderate,91804.39,Bachelor’s Degree,18,9081,7762,72.6,28.3,India,64.38
"Education officer, environmental",Finance,Increasing,High,99965.0,Associate Degree,16,9443,8919,14.85,90.18,Germany,34.49
Special educational needs teacher,Entertainment,Increasing,Low,91490.77,High School,16,9032,6624,85.76,36.36,UK,62.59
"Physicist, medical",Manufacturing,Increasing,High,85868.67,Associate Degree,11,1858,9639,17.13,46.32,Australia,61.81
"Development worker, community",Education,Increasing,High,96781.43,Master’s Degree,8,3794,8686,53.28,22.24,Germany,62.72
Publishing copy,Manufacturing,Increasing,Low,105091.08,Associate Degree,16,5415,6361,78.28,16.85,USA,61.05
Government social research officer,Entertainment,Increasing,Moderate,97103.71,Associate Degree,14,3744,6320,96.96,10.48,UK,73.91
Cartographer,Entertainment,Decreasing,High,95744.17,PhD,8,6362,1451,12.16,73.35,USA,26.88
Politician's assistant,Finance,Increasing,Low,134043.55,Master’s Degree,19,4677,9784,4.48,40.32,Australia,56.0
Engineering geologist,Finance,Decreasing,Low,121806.73,Master’s Degree,17,320,449,10.82,55.39,Australia,53.17
Theatre stage manager,Retail,Decreasing,Low,96167.15,Master’s Degree,9,8490,5722,86.49,54.21,Australia,67.68
Land/geomatics surveyor,Education,Decreasing,Moderate,87665.67,High School,12,7245,8723,35.29,26.08,Germany,29.74
"Teacher, special educational needs",IT,Increasing,High,107611.27,Master’s Degree,7,6321,301,91.89,89.91,India,59.54
Regulatory affairs officer,Healthcare,Decreasing,High,92487.86,Associate Degree,20,7325,9070,53.78,74.11,India,43.37
"Engineer, control and instrumentation",Finance,Increasing,Moderate,101268.92,Bachelor’s Degree,12,2686,4028,44.49,74.88,China,51.72
"Engineer, manufacturing",Education,Decreasing,Low,82744.95,Bachelor’s Degree,11,2688,2869,37.97,80.65,Brazil,74.77
"Editor, commissioning",Manufacturing,Decreasing,Moderate,100748.37,High School,18,315,8224,90.72,23.4,Germany,54.74
"Surveyor, minerals",Education,Increasing,High,87166.53,PhD,9,8300,5825,72.39,79.9,Germany,69.28
Microbiologist,Transportation,Decreasing,Moderate,110126.26,PhD,16,286,6997,90.36,24.07,USA,70.19
"Designer, industrial/product",Transportation,Decreasing,Low,83964.13,High School,14,3443,6214,87.16,38.99,Germany,62.38
English as a foreign language teacher,Finance,Decreasing,Moderate,101748.02,Associate Degree,14,9584,4486,83.46,55.85,China,74.67
Regulatory affairs officer,Transportation,Decreasing,High,94242.94,Bachelor’s Degree,16,207,8753,24.01,0.0,Australia,46.14
Legal secretary,Entertainment,Decreasing,Low,83535.79,High School,11,9536,6056,19.82,24.58,Germany,76.93
Medical laboratory scientific officer,Finance,Decreasing,Moderate,122378.87,Master’s Degree,6,8268,3838,42.12,0.0,Australia,75.35
"Exhibitions officer, museum/gallery",Entertainment,Decreasing,Moderate,101580.55,PhD,3,3317,5649,98.71,50.5,Germany,26.24
Pharmacologist,Manufacturing,Increasing,Low,98212.85,PhD,3,5103,5289,54.74,0.0,Germany,78.77
Recycling officer,IT,Decreasing,Moderate,110255.9,PhD,9,983,7982,51.77,82.45,India,49.42
Arts development officer,Finance,Decreasing,High,120170.02,PhD,13,1795,2992,47.85,74.1,Brazil,35.73
Archivist,Finance,Increasing,Low,105274.78,Master’s Degree,9,7391,9077,42.73,87.1,Canada,27.23
"Lecturer, further education",Manufacturing,Decreasing,High,94144.77,Bachelor’s Degree,13,1703,3255,95.07,30.68,USA,54.28
"Administrator, charities/voluntary organisations",Education,Increasing,Low,111312.28,Master’s Degree,17,5636,4615,97.08,50.95,China,38.25
Arboriculturist,IT,Increasing,Low,94767.45,High School,14,7490,176,78.74,61.2,Canada,39.24
Medical technical officer,Education,Decreasing,High,105699.52,Master’s Degree,16,3708,9982,13.58,13.11,Brazil,72.41
International aid/development worker,Healthcare,Increasing,Moderate,81030.1,High School,6,2647,832,16.88,5.58,UK,50.34
IT consultant,Healthcare,Increasing,Moderate,107770.63,Master’s Degree,15,996,5201,27.63,47.65,Australia,79.54
Dealer,Transportation,Increasing,Low,94478.3,Associate Degree,18,5973,4987,95.04,44.64,Canada,72.54
Proofreader,Manufacturing,Increasing,Moderate,97964.87,Bachelor’s Degree,13,6158,7929,80.6,60.12,Germany,59.61
Nutritional therapist,Education,Increasing,Low,81773.16,Associate Degree,15,1342,7230,38.62,83.18,Canada,41.49
Television floor manager,Education,Decreasing,High,71939.4,Associate Degree,6,1165,6309,66.14,75.94,Australia,52.87
Stage manager,Healthcare,Decreasing,Moderate,82929.49,Associate Degree,12,3406,7779,4.68,88.94,USA,22.39
"Development worker, community",Entertainment,Increasing,Moderate,106747.69,Associate Degree,18,1107,2840,29.14,1.9,India,67.74
Biomedical scientist,Healthcare,Decreasing,Moderate,111876.97,PhD,18,7886,5658,75.51,50.38,China,39.88
"Scientist, research (life sciences)",Education,Increasing,High,90303.8,Bachelor’s Degree,5,6235,530,11.04,0.0,USA,77.29
"Psychologist, prison and probation services",IT,Decreasing,Moderate,105110.76,High School,14,3972,8485,21.79,9.23,Canada,57.96
"Designer, jewellery",Education,Decreasing,Low,65824.97,High School,2,7372,3345,77.96,31.18,USA,33.8
"Designer, ceramics/pottery",Healthcare,Decreasing,Moderate,74107.3,High School,7,1996,933,69.1,57.44,Germany,40.49
Set designer,Retail,Increasing,Low,67567.02,Associate Degree,2,144,4880,46.78,70.32,USA,23.92
Recycling officer,Education,Decreasing,Low,74183.08,Associate Degree,5,3156,9825,85.08,57.72,UK,28.0
"Teacher, music",IT,Decreasing,High,114110.19,Master’s Degree,5,9729,6424,76.91,40.23,Canada,41.8
"Surveyor, building",Manufacturing,Decreasing,High,81807.26,Associate Degree,9,9904,8047,70.79,75.85,Australia,50.9
Horticultural consultant,Retail,Decreasing,High,112522.55,PhD,16,7811,9888,25.62,0.0,Brazil,76.9
"Engineer, broadcasting (operations)",Education,Decreasing,High,101595.81,Master’s Degree,14,4087,6012,42.22,50.73,China,32.27
Acupuncturist,Entertainment,Increasing,Moderate,116272.38,PhD,7,7738,7101,57.11,30.65,India,43.98
Teaching laboratory technician,Manufacturing,Increasing,High,84677.74,Associate Degree,17,2766,9851,66.66,75.68,Germany,22.34
Sports therapist,Education,Increasing,High,78116.72,Associate Degree,12,5950,1372,52.22,85.05,Canada,20.69
Armed forces training and education officer,Education,Increasing,Low,95678.35,PhD,2,1216,3823,50.45,45.88,USA,42.47
Hospital doctor,Healthcare,Decreasing,Low,109658.52,Bachelor’s Degree,14,548,9875,51.53,6.44,UK,66.48
Food technologist,Manufacturing,Decreasing,Moderate,92429.33,Bachelor’s Degree,3,5713,9643,59.2,11.46,Brazil,24.62
Theatre director,IT,Decreasing,Low,138847.55,Master’s Degree,11,2483,4391,76.98,0.0,UK,54.31
Emergency planning/management officer,Finance,Decreasing,High,118133.66,Bachelor’s Degree,13,4475,7849,59.45,31.85,USA,59.4
Patent examiner,Education,Increasing,Moderate,107237.79,Bachelor’s Degree,20,5664,5257,13.95,0.0,China,32.46
Volunteer coordinator,Finance,Decreasing,Low,116814.65,Associate Degree,11,6318,9078,1.93,0.0,China,39.19
"Lecturer, higher education",Finance,Decreasing,Moderate,119837.54,Bachelor’s Degree,11,5458,4522,50.07,11.5,Germany,75.16
Geophysicist/field seismologist,Entertainment,Decreasing,Moderate,70043.72,High School,10,1424,6282,22.92,27.39,Germany,76.44
"Production assistant, radio",Retail,Increasing,Moderate,84415.52,Bachelor’s Degree,11,872,4656,81.99,65.97,UK,52.77
Orthoptist,Entertainment,Increasing,High,110281.61,Master’s Degree,18,5125,2237,68.35,5.78,UK,37.28
Environmental consultant,IT,Decreasing,High,124420.79,Master’s Degree,11,6799,1224,95.04,41.86,Canada,29.77
Animal nutritionist,Entertainment,Decreasing,Low,100173.33,Master’s Degree,9,9210,8977,88.87,44.43,Australia,47.21
Best boy,Healthcare,Increasing,Moderate,101268.88,Bachelor’s Degree,17,2307,3934,52.59,69.28,USA,58.8
Dietitian,Finance,Decreasing,Low,108219.81,Master’s Degree,11,6686,6525,26.42,58.7,Canada,27.38
Local government officer,Finance,Increasing,High,78550.61,High School,3,9832,707,54.38,41.56,Australia,40.23
Pharmacologist,Healthcare,Increasing,Low,111038.5,PhD,11,3089,8581,93.1,2.45,China,56.94
Commercial horticulturist,Finance,Decreasing,Moderate,133939.0,Bachelor’s Degree,19,1563,152,24.27,6.1,USA,56.6
"Editor, film/video",Retail,Decreasing,High,70319.44,High School,9,3949,8324,74.55,0.94,China,51.18
Osteopath,Transportation,Increasing,Low,89289.27,Associate Degree,17,5672,6790,67.73,50.02,India,34.96
Database administrator,Transportation,Increasing,Moderate,94189.76,PhD,14,6426,5782,78.16,86.11,Brazil,41.74
Corporate investment banker,Healthcare,Increasing,Moderate,93420.99,Associate Degree,18,5652,5464,4.99,47.35,Canada,42.11
Clinical biochemist,Education,Decreasing,High,89761.05,Bachelor’s Degree,11,5739,8186,75.52,42.31,Canada,43.29
"Embryologist, clinical",Education,Increasing,Moderate,105052.7,Associate Degree,19,9533,6321,40.94,18.89,USA,41.17
Youth worker,Entertainment,Decreasing,Low,59641.2,High School,2,3773,606,91.25,75.96,Canada,50.32
Chiropractor,Education,Increasing,High,73602.9,Associate Degree,7,8460,658,67.74,92.36,Canada,55.65
Sports therapist,Retail,Decreasing,Moderate,97223.48,Bachelor’s Degree,17,3656,8283,89.04,29.3,Germany,29.18
"Editor, commissioning",Education,Increasing,Low,65896.77,Bachelor’s Degree,3,903,4546,20.74,63.6,UK,72.64
Insurance claims handler,Education,Increasing,Low,81877.1,Associate Degree,9,8188,2910,98.78,59.73,Canada,31.15
Interpreter,Education,Increasing,Moderate,96066.35,Associate Degree,18,4288,5832,13.54,23.1,Australia,45.59
"Development worker, international aid",Education,Decreasing,Moderate,91486.0,High School,9,8993,512,30.71,27.17,China,27.25
Audiological scientist,Education,Decreasing,High,108861.83,Master’s Degree,12,7656,4268,57.16,0.92,Canada,66.37
Glass blower/designer,Healthcare,Increasing,High,105086.28,Master’s Degree,10,6511,3261,52.34,11.77,Australia,44.11
Information officer,IT,Decreasing,Moderate,109846.66,Bachelor’s Degree,17,2037,8809,35.26,53.36,India,43.08
Broadcast presenter,Manufacturing,Increasing,High,64595.85,Associate Degree,1,4787,3952,14.64,91.43,USA,73.82
"Engineer, civil (consulting)",Manufacturing,Increasing,Moderate,98269.16,Master’s Degree,20,2589,2677,55.73,69.79,Germany,63.47
Museum/gallery exhibitions officer,Entertainment,Decreasing,Moderate,83696.96,Bachelor’s Degree,11,3583,7062,20.68,55.09,Canada,29.69
"Physicist, medical",Healthcare,Decreasing,High,108497.95,Bachelor’s Degree,20,7963,6234,47.37,10.96,USA,58.77
"Scientist, physiological",Retail,Decreasing,Low,109309.92,PhD,18,5132,7087,89.29,12.3,Brazil,38.35
Risk analyst,Entertainment,Decreasing,High,54909.97,High School,1,6534,3222,21.81,85.81,Canada,36.8
Accommodation manager,Healthcare,Increasing,Moderate,109283.01,Master’s Degree,12,5200,2694,19.32,0.76,UK,63.07
Youth worker,Retail,Increasing,Low,94032.71,Bachelor’s Degree,17,8989,2681,14.61,51.64,Germany,74.52
Chartered certified accountant,Retail,Decreasing,High,59278.13,High School,1,9036,6352,65.14,39.12,USA,54.69
Management consultant,Healthcare,Increasing,Low,87119.45,Master’s Degree,4,3785,142,3.31,64.12,USA,38.26
Mental health nurse,Manufacturing,Increasing,Moderate,109778.42,PhD,18,7016,8678,2.8,59.59,USA,76.37
Records manager,Education,Decreasing,Moderate,71679.42,Bachelor’s Degree,8,906,661,65.73,86.53,Brazil,73.38
Make,Healthcare,Increasing,Low,98478.24,Bachelor’s Degree,15,820,5127,17.13,59.35,Germany,52.98
Clinical embryologist,Transportation,Decreasing,Moderate,110568.65,Master’s Degree,20,7471,221,11.0,48.39,India,48.28
Advertising account planner,Education,Decreasing,Low,68268.0,High School,7,2489,7397,57.82,23.65,Canada,72.13
"Horticulturist, amenity",Manufacturing,Decreasing,Low,110178.39,PhD,6,7582,3293,65.14,39.43,Brazil,55.12
"Designer, furniture",Transportation,Decreasing,Moderate,68788.15,High School,1,8356,1097,9.82,19.21,India,49.48
Geophysical data processor,Retail,Increasing,High,67605.76,Associate Degree,4,3207,3330,15.77,0.6,UK,49.77
Air broker,Entertainment,Increasing,Moderate,70509.21,Bachelor’s Degree,5,9272,6317,84.14,79.75,India,37.71
Production manager,Healthcare,Decreasing,Low,82219.06,Associate Degree,6,7609,8226,10.76,56.73,Brazil,27.37
Air cabin crew,Education,Decreasing,High,75210.37,High School,2,8750,8845,68.12,10.69,China,35.15
Musician,Retail,Decreasing,Moderate,78722.33,High School,6,2150,4004,76.31,4.0,UK,38.73
"Scientist, product/process development",Education,Decreasing,Low,75854.98,High School,9,4202,8161,57.1,6.91,Brazil,66.12
Chief of Staff,Retail,Increasing,Low,109216.67,PhD,3,8941,6057,4.57,11.61,China,44.15
Computer games developer,Manufacturing,Increasing,Low,94905.98,Bachelor’s Degree,11,5749,8842,81.08,18.64,China,36.3
"Designer, interior/spatial",Manufacturing,Increasing,Moderate,84687.53,Master’s Degree,4,6625,6445,76.86,89.55,Brazil,54.03
"Copywriter, advertising",Entertainment,Decreasing,Low,85931.38,High School,19,3821,4401,63.82,57.54,USA,78.74
Dietitian,Education,Decreasing,Low,108124.51,PhD,10,3893,6480,62.49,13.75,Brazil,24.97
Music therapist,Finance,Decreasing,Low,102110.4,Bachelor’s Degree,1,9008,4659,50.14,10.77,China,31.98
Amenity horticulturist,IT,Increasing,High,106453.57,Bachelor’s Degree,8,539,6884,95.78,76.19,Brazil,58.83
Petroleum engineer,Finance,Decreasing,High,120624.13,Master’s Degree,7,2240,5538,93.55,36.02,Brazil,68.26
Camera operator,Manufacturing,Increasing,High,100327.86,PhD,9,3166,1023,40.53,43.52,Germany,78.41
"Designer, jewellery",Healthcare,Increasing,High,87503.72,Bachelor’s Degree,14,5780,1200,9.87,79.33,China,31.73
Water engineer,IT,Increasing,Moderate,110337.36,Associate Degree,11,8310,7238,1.63,66.42,Germany,65.02
Advertising art director,Entertainment,Increasing,Moderate,85139.2,Associate Degree,6,6892,5151,1.63,12.87,Canada,56.79
Medical illustrator,IT,Decreasing,Low,96399.65,Master’s Degree,5,4230,2801,28.77,71.8,Germany,51.15
Art therapist,Finance,Decreasing,High,112232.52,PhD,1,9216,3200,56.62,33.93,Canada,66.84
Stage manager,Transportation,Increasing,Low,109068.65,PhD,19,9258,5077,22.92,0.0,China,36.9
Water engineer,Manufacturing,Decreasing,Moderate,94130.55,Bachelor’s Degree,14,1781,6615,12.07,80.29,Australia,46.73
Fisheries officer,Entertainment,Increasing,Moderate,74274.19,High School,9,1675,4167,9.24,0.0,China,38.65
"Surveyor, insurance",Education,Increasing,High,102243.26,Master’s Degree,17,498,2919,34.14,45.36,Brazil,32.63
Production engineer,Finance,Decreasing,Moderate,107279.86,Master’s Degree,5,7879,4587,9.42,0.0,USA,28.02
"Surveyor, mining",IT,Increasing,Moderate,122726.83,Bachelor’s Degree,11,6906,8188,69.52,27.43,Brazil,33.29
Sports administrator,IT,Decreasing,High,121971.72,PhD,16,8385,810,29.2,59.09,Canada,52.81
